epoch,step,train_accuracy,train_auc_ovo,train_auc_ovr,train_f1,train_loss,train_pr_auc,val_accuracy,val_auc_ovo,val_auc_ovr,val_f1,val_loss,val_pr_auc
0,8,,,,,,,0.23076923191547394,0.5131904482841492,0.5151650309562683,0.17613635957241058,1.7910224199295044,0.272329717874527
0,8,0.25242719054222107,0.5327104330062866,0.5311722755432129,0.13799650967121124,,0.2117033451795578,,,,,,
1,9,,,,,1.736454725265503,,,,,,,
1,17,,,,,,,0.07692307978868484,0.553595244884491,0.5629484057426453,0.05218855291604996,1.7446459531784058,0.3524538278579712
1,17,0.21359223127365112,0.5974516272544861,0.5996366143226624,0.18377020955085754,,0.2348669320344925,,,,,,
2,19,,,,,1.6966907978057861,,,,,,,
2,26,,,,,,,0.19230769574642181,0.6152380704879761,0.6131184101104736,0.15128205716609955,1.7074635028839111,0.2904599606990814
2,26,0.291262149810791,0.689911961555481,0.6973364949226379,0.21215109527111053,,0.3258684575557709,,,,,,
3,29,,,,,1.6669926643371582,,,,,,,
3,35,,,,,,,0.23076923191547394,0.6807460188865662,0.6759321093559265,0.16153846681118011,1.644945740699768,0.35320863127708435
3,35,0.3300970792770386,0.7497459650039673,0.7547585964202881,0.2588341534137726,,0.3846145272254944,,,,,,
4,39,,,,,1.534794807434082,,,,,,,
4,44,,,,,,,0.23076923191547394,0.6949920654296875,0.7019843459129333,0.1636752188205719,1.6112183332443237,0.38245898485183716
4,44,0.3300970792770386,0.7565876245498657,0.7649380564689636,0.24943353235721588,,0.35703858733177185,,,,,,
5,49,,,,,1.3846240043640137,,,,,,,
5,53,,,,,,,0.19230769574642181,0.697174608707428,0.7003053426742554,0.14141413569450378,1.608176350593567,0.3373792767524719
5,53,0.3980582654476166,0.7938668131828308,0.7963347434997559,0.32693803310394287,,0.43370991945266724,,,,,,
6,59,,,,,1.592915654182434,,,,,,,
6,62,,,,,,,0.07692307978868484,0.6735237836837769,0.681188702583313,0.0694444477558136,1.591133713722229,0.3048180639743805
6,62,0.34951457381248474,0.8068843483924866,0.8087030053138733,0.29202279448509216,,0.4296075105667114,,,,,,
7,69,,,,,1.3554660081863403,,,,,,,
7,71,,,,,,,0.19230769574642181,0.7001746296882629,0.7039245963096619,0.13034188747406006,1.5452532768249512,0.3265218734741211
7,71,0.3786407709121704,0.8128165006637573,0.8137262463569641,0.29996809363365173,,0.42977240681648254,,,,,,
8,79,,,,,1.2709687948226929,,,,,,,
8,80,,,,,,,0.26923078298568726,0.6946507692337036,0.6971389055252075,0.18589743971824646,1.559645414352417,0.3213988244533539
8,80,0.48543688654899597,0.8325974941253662,0.8333631753921509,0.4263356626033783,,0.4906628727912903,,,,,,
9,89,,,,,1.2948635816574097,,,,,,,
9,89,,,,,,,0.26923078298568726,0.6808571219444275,0.686599612236023,0.19230769574642181,1.5932013988494873,0.3133294880390167
9,89,0.41747573018074036,0.8214149475097656,0.8247398734092712,0.33932581543922424,,0.4687941372394562,,,,,,
10,98,,,,,,,0.26923078298568726,0.6824761629104614,0.6910548806190491,0.21452991664409637,1.5811797380447388,0.3305209279060364
10,98,0.3980582654476166,0.8150445222854614,0.8135411143302917,0.34204089641571045,,0.47369882464408875,,,,,,
11,99,,,,,1.263920545578003,,,,,,,
11,107,,,,,,,0.1538461595773697,0.6905714273452759,0.7005926370620728,0.13215488195419312,1.5640614032745361,0.3382551670074463
11,107,0.3786407709121704,0.8261845111846924,0.8264234662055969,0.3703495264053345,,0.4316980838775635,,,,,,
12,109,,,,,1.2660363912582397,,,,,,,
12,116,,,,,,,0.11538461595773697,0.6719682812690735,0.6821433901786804,0.1120370402932167,1.5702751874923706,0.30521467328071594
12,116,0.48543688654899597,0.8584734797477722,0.8612191081047058,0.46073901653289795,,0.5023648738861084,,,,,,
13,119,,,,,1.076663851737976,,,,,,,
13,125,,,,,,,0.11538461595773697,0.6751587390899658,0.6840373277664185,0.1120370402932167,1.5785086154937744,0.30327025055885315
13,125,0.48543688654899597,0.8373104333877563,0.8347076177597046,0.4708469808101654,,0.46343231201171875,,,,,,
14,129,,,,,1.1608121395111084,,,,,,,
14,134,,,,,,,0.1538461595773697,0.6990793943405151,0.7005983591079712,0.14907407760620117,1.5639413595199585,0.333016574382782
14,134,0.446601927280426,0.8444939255714417,0.8456580638885498,0.42843425273895264,,0.5590754747390747,,,,,,
15,139,,,,,1.2847858667373657,,,,,,,
15,143,,,,,,,0.1538461595773697,0.6796825528144836,0.6876898407936096,0.14814814925193787,1.5556024312973022,0.301072895526886
15,143,0.4757281541824341,0.8677622079849243,0.8658543229103088,0.4553832709789276,,0.579197883605957,,,,,,
16,149,,,,,1.7392734289169312,,,,,,,
16,152,,,,,,,0.19230769574642181,0.6918730139732361,0.6970677971839905,0.1696127951145172,1.549212098121643,0.31379422545433044
16,152,0.4660194218158722,0.8291237950325012,0.8285355567932129,0.4338778555393219,,0.477101594209671,,,,,,
17,159,,,,,1.306817889213562,,,,,,,
17,161,,,,,,,0.23076923191547394,0.6935396790504456,0.6982026100158691,0.1999158263206482,1.547822117805481,0.31101998686790466
17,161,0.41747573018074036,0.8534266352653503,0.8523555994033813,0.39795082807540894,,0.5333481431007385,,,,,,
18,169,,,,,0.8684144616127014,,,,,,,
18,170,,,,,,,0.23076923191547394,0.6852063536643982,0.6938931941986084,0.1999158263206482,1.5457640886306763,0.3078683018684387
18,170,0.41747573018074036,0.8463137149810791,0.8450556397438049,0.3876851797103882,,0.49655473232269287,,,,,,
19,179,,,,,0.936366856098175,,,,,,,
19,179,,,,,,,0.23076923191547394,0.6877619028091431,0.6949589848518372,0.1999158263206482,1.5454113483428955,0.3106628656387329
19,179,0.4757281541824341,0.8540028929710388,0.8524978160858154,0.46972790360450745,,0.5005084872245789,,,,,,
20,188,,,,,,,0.23076923191547394,0.6871269941329956,0.6911711096763611,0.20294612646102905,1.5451622009277344,0.3080173432826996
20,188,0.3786407709121704,0.8317666053771973,0.8318443894386292,0.36762183904647827,,0.4553404152393341,,,,,,
21,189,,,,,0.9585968852043152,,,,,,,
21,197,,,,,,,0.19230769574642181,0.6853174567222595,0.6903429627418518,0.17037037014961243,1.5499132871627808,0.30840757489204407
21,197,0.4563106894493103,0.8623381853103638,0.8594520092010498,0.45185232162475586,,0.5147277116775513,,,,,,
22,199,,,,,1.253929853439331,,,,,,,
22,206,,,,,,,0.19230769574642181,0.6849047541618347,0.6903429627418518,0.17407406866550446,1.5509555339813232,0.3090094029903412
22,206,0.4660194218158722,0.8491061925888062,0.8539008498191833,0.4398795962333679,,0.5073943734169006,,,,,,
23,209,,,,,1.1813608407974243,,,,,,,
23,215,,,,,,,0.19230769574642181,0.6897618770599365,0.6938241720199585,0.17407406866550446,1.547758936882019,0.31005287170410156
23,215,0.48543688654899597,0.8185870051383972,0.8181729912757874,0.46252185106277466,,0.44355326890945435,,,,,,
24,219,,,,,1.2287644147872925,,,,,,,
24,224,,,,,,,0.23076923191547394,0.6898254156112671,0.6931833624839783,0.21851852536201477,1.5404223203659058,0.3116549253463745
24,224,0.48543688654899597,0.8767977356910706,0.8742473721504211,0.4660005569458008,,0.5747032165527344,,,,,,
25,229,,,,,1.3212109804153442,,,,,,,
25,233,,,,,,,0.23076923191547394,0.6987777948379517,0.6995325684547424,0.21481481194496155,1.534442663192749,0.3202446699142456
25,233,0.40776699781417847,0.8580338954925537,0.8578595519065857,0.4037977457046509,,0.5030378103256226,,,,,,
26,239,,,,,1.2091606855392456,,,,,,,
26,242,,,,,,,0.23076923191547394,0.6993333101272583,0.6985851526260376,0.21641413867473602,1.5535253286361694,0.321092426776886
26,242,0.5048543810844421,0.8387804627418518,0.8397519588470459,0.46954673528671265,,0.48480045795440674,,,,,,
27,249,,,,,1.1498841047286987,,,,,,,
27,251,,,,,,,0.23076923191547394,0.6982539892196655,0.6993857622146606,0.21481481194496155,1.5432567596435547,0.31689053773880005
27,251,0.4660194218158722,0.8504126667976379,0.8486779928207397,0.41285440325737,,0.4792276620864868,,,,,,
28,259,,,,,1.0467631816864014,,,,,,,
28,260,,,,,,,0.23076923191547394,0.6964126825332642,0.7004515528678894,0.20227272808551788,1.5624760389328003,0.32032909989356995
28,260,0.5728155374526978,0.8861530423164368,0.8858824968338013,0.5530523657798767,,0.5896914601325989,,,,,,
29,269,,,,,1.649160623550415,,,,,,,
29,269,,,,,,,0.26923078298568726,0.7122856974601746,0.709313690662384,0.22762885689735413,1.5431691408157349,0.32490676641464233
29,269,0.5145630836486816,0.8837519288063049,0.880625307559967,0.5087331533432007,,0.5963773727416992,,,,,,
30,278,,,,,,,0.26923078298568726,0.7394127249717712,0.740807294845581,0.25132274627685547,1.4747570753097534,0.3571130633354187
30,278,0.42718446254730225,0.8460788726806641,0.8433883786201477,0.3981826901435852,,0.49191394448280334,,,,,,
31,279,,,,,1.4670840501785278,,,,,,,
31,287,,,,,,,0.23076923191547394,0.7517777681350708,0.7516935467720032,0.22486773133277893,1.4860485792160034,0.384030818939209
31,287,0.446601927280426,0.8548569679260254,0.8534776568412781,0.43729737401008606,,0.5249304175376892,,,,,,
32,289,,,,,1.037062406539917,,,,,,,
32,296,,,,,,,0.23076923191547394,0.7203174829483032,0.7282512187957764,0.22621452808380127,1.5311012268066406,0.35840991139411926
32,296,0.49514561891555786,0.8468430042266846,0.8454015254974365,0.4626382291316986,,0.4746883809566498,,,,,,
33,299,,,,,1.3065619468688965,,,,,,,
33,305,,,,,,,0.19230769574642181,0.703079342842102,0.7121750116348267,0.19829244911670685,1.583301305770874,0.36008700728416443
33,305,0.49514561891555786,0.8643395304679871,0.86656254529953,0.45033761858940125,,0.5446165800094604,,,,,,
34,309,,,,,1.2339229583740234,,,,,,,
34,314,,,,,,,0.19230769574642181,0.7077142596244812,0.7092947363853455,0.19074073433876038,1.6206564903259277,0.3435700535774231
34,314,0.5631067752838135,0.8859571218490601,0.8836846947669983,0.5473403930664062,,0.6079357862472534,,,,,,
35,319,,,,,1.1949341297149658,,,,,,,
35,323,,,,,,,0.26923078298568726,0.7159047722816467,0.7174389958381653,0.2476430982351303,1.6091500520706177,0.3561948537826538
35,323,0.5242718458175659,0.8656845688819885,0.8648505806922913,0.5156925916671753,,0.5687474608421326,,,,,,
36,329,,,,,1.0726213455200195,,,,,,,
36,332,,,,,,,0.26923078298568726,0.7109364867210388,0.7165638208389282,0.25227272510528564,1.5388004779815674,0.3534561097621918
36,332,0.49514561891555786,0.8600650429725647,0.860065758228302,0.4727606475353241,,0.5211539268493652,,,,,,
37,339,,,,,1.10086190700531,,,,,,,
37,341,,,,,,,0.3076923191547394,0.7229682803153992,0.7181270122528076,0.2915584444999695,1.5709189176559448,0.36195310950279236
37,341,0.49514561891555786,0.8794165849685669,0.8746986985206604,0.48755115270614624,,0.5979390740394592,,,,,,
38,349,,,,,1.3240715265274048,,,,,,,
38,350,,,,,,,0.3076923191547394,0.7063651084899902,0.7135360836982727,0.25740739703178406,1.6268246173858643,0.33284634351730347
38,350,0.4757281541824341,0.8930385708808899,0.890047550201416,0.48157215118408203,,0.6401346921920776,,,,,,
39,359,,,,,1.3145955801010132,,,,,,,
39,359,,,,,,,0.26923078298568726,0.6963174343109131,0.7037964463233948,0.22136752307415009,1.6963160037994385,0.3167007863521576
39,359,0.6116504669189453,0.9095488786697388,0.9072028994560242,0.606249988079071,,0.6661631464958191,,,,,,
40,368,,,,,,,0.23076923191547394,0.6858412623405457,0.6927019357681274,0.19654420018196106,1.8067423105239868,0.3400520384311676
40,368,0.5145630836486816,0.8786887526512146,0.8809361457824707,0.4957008957862854,,0.5854076147079468,,,,,,
41,369,,,,,0.8264699578285217,,,,,,,
41,377,,,,,,,0.23076923191547394,0.6929206252098083,0.6938068866729736,0.21352814137935638,1.7001144886016846,0.34231871366500854
41,377,0.41747573018074036,0.863314688205719,0.8632952570915222,0.41729027032852173,,0.5475524067878723,,,,,,
42,379,,,,,0.7410553097724915,,,,,,,
42,386,,,,,,,0.3461538553237915,0.7314444184303284,0.730564534664154,0.26441335678100586,1.7057207822799683,0.3454321026802063
42,386,0.5145630836486816,0.8945854306221008,0.8924962282180786,0.515632688999176,,0.6262481212615967,,,,,,
43,389,,,,,0.6509701013565063,,,,,,,
43,395,,,,,,,0.23076923191547394,0.7469523549079895,0.750062882900238,0.21430976688861847,1.6222418546676636,0.3826432526111603
43,395,0.6504854559898376,0.9132722616195679,0.9145366549491882,0.6245068311691284,,0.6560500860214233,,,,,,
44,399,,,,,0.9572157263755798,,,,,,,
44,404,,,,,,,0.26923078298568726,0.7510952353477478,0.7548401355743408,0.26653438806533813,1.623518466949463,0.3765599727630615
44,404,0.5728155374526978,0.928181529045105,0.925563633441925,0.561708927154541,,0.7282095551490784,,,,,,
45,409,,,,,1.0764025449752808,,,,,,,
45,413,,,,,,,0.3076923191547394,0.7269206643104553,0.7351020574569702,0.26851850748062134,1.7250628471374512,0.34139400720596313
45,413,0.553398072719574,0.900162935256958,0.8998124599456787,0.554447591304779,,0.6604658365249634,,,,,,
46,419,,,,,0.7154743075370789,,,,,,,
46,422,,,,,,,0.3461538553237915,0.7500476241111755,0.754126787185669,0.299807608127594,1.508901834487915,0.4051273763179779
46,422,0.6116504669189453,0.9192644953727722,0.9172579050064087,0.6000728607177734,,0.6794382333755493,,,,,,
47,429,,,,,0.6070160865783691,,,,,,,
47,431,,,,,,,0.23076923191547394,0.7144920825958252,0.7219311594963074,0.17922818660736084,1.7019034624099731,0.33807340264320374
47,431,0.6213592290878296,0.9330602884292603,0.9307217001914978,0.6295709609985352,,0.7270711660385132,,,,,,
48,439,,,,,0.9182512164115906,,,,,,,
48,440,,,,,,,0.23076923191547394,0.68836510181427,0.701898992061615,0.2240740805864334,2.0059080123901367,0.32681509852409363
48,440,0.6310679316520691,0.9291370511054993,0.9235337376594543,0.6337025761604309,,0.7170169353485107,,,,,,
49,449,,,,,0.7497914433479309,,,,,,,
49,449,,,,,,,0.19230769574642181,0.7003174424171448,0.709021270275116,0.159507155418396,1.8465384244918823,0.3277303874492645
49,449,0.7475728392601013,0.9539679288864136,0.953061580657959,0.7526248693466187,,0.845125675201416,,,,,,
