epoch,step,train_accuracy,train_auc_ovo,train_auc_ovr,train_f1,train_loss,train_pr_auc,val_accuracy,val_auc_ovo,val_auc_ovr,val_f1,val_loss,val_pr_auc
0,9,,,,,1.785190224647522,,,,,,,
0,9,,,,,,,0.13793103396892548,0.5891203880310059,0.5988761186599731,0.04301075264811516,1.784300446510315,0.2824864089488983
0,9,0.2347826063632965,0.5435846447944641,0.5410714149475098,0.16943442821502686,,0.235571026802063,,,,,,
1,19,,,,,1.6754790544509888,,,,,,,
1,19,,,,,,,0.3103448152542114,0.6037963032722473,0.606995701789856,0.23892340064048767,1.747997522354126,0.3133527338504791
1,19,0.269565224647522,0.6424394249916077,0.6510684490203857,0.22876715660095215,,0.2808152437210083,,,,,,
2,29,,,,,1.8068667650222778,,,,,,,
2,29,,,,,,,0.3103448152542114,0.6381713151931763,0.6459689736366272,0.18888889253139496,1.6961694955825806,0.37097203731536865
2,29,0.3478260934352875,0.6940263509750366,0.704183042049408,0.2822786867618561,,0.34137603640556335,,,,,,
3,39,,,,,1.4893701076507568,,,,,,,
3,39,,,,,,,0.3448275923728943,0.6908102035522461,0.6945069432258606,0.16538789868354797,1.6377147436141968,0.4178755581378937
3,39,0.373913049697876,0.767109751701355,0.7734529376029968,0.31880006194114685,,0.40135976672172546,,,,,,
4,49,,,,,1.61628258228302,,,,,,,
4,49,,,,,,,0.48275861144065857,0.7065046429634094,0.7084740400314331,0.35859212279319763,1.6146266460418701,0.39897772669792175
4,49,0.4000000059604645,0.7743844985961914,0.7789900302886963,0.3401654064655304,,0.37839144468307495,,,,,,
5,59,,,,,1.4911373853683472,,,,,,,
5,59,,,,,,,0.4137931168079376,0.7784490585327148,0.7753064632415771,0.3555406928062439,1.53553307056427,0.45595985651016235
5,59,0.373913049697876,0.7985755801200867,0.8050026893615723,0.28452736139297485,,0.38381510972976685,,,,,,
6,69,,,,,1.4868988990783691,,,,,,,
6,69,,,,,,,0.3103448152542114,0.7729629874229431,0.7732675075531006,0.25360751152038574,1.501494288444519,0.42474159598350525
6,69,0.417391300201416,0.8242011070251465,0.8241291046142578,0.3825925290584564,,0.4547398090362549,,,,,,
7,79,,,,,1.260090708732605,,,,,,,
7,79,,,,,,,0.3103448152542114,0.7562500238418579,0.753717303276062,0.29332610964775085,1.5504469871520996,0.4223586618900299
7,79,0.52173912525177,0.8404846787452698,0.8444731831550598,0.49319931864738464,,0.4659802317619324,,,,,,
8,89,,,,,1.4472321271896362,,,,,,,
8,89,,,,,,,0.27586206793785095,0.7450231313705444,0.7412000298500061,0.2443181872367859,1.554517149925232,0.3683197498321533
8,89,0.43478259444236755,0.8175520896911621,0.8218678832054138,0.4142691195011139,,0.40792495012283325,,,,,,
9,99,,,,,1.0702885389328003,,,,,,,
9,99,,,,,,,0.17241379618644714,0.7470601797103882,0.7395066618919373,0.13531745970249176,1.5547387599945068,0.38616281747817993
9,99,0.373913049697876,0.8332052826881409,0.8389604687690735,0.33719661831855774,,0.4620802104473114,,,,,,
10,109,,,,,1.230104684829712,,,,,,,
10,109,,,,,,,0.24137930572032928,0.7357639074325562,0.7240632772445679,0.21722689270973206,1.583380103111267,0.36121106147766113
10,109,0.4000000059604645,0.8323661684989929,0.8340258002281189,0.37951892614364624,,0.4523220956325531,,,,,,
11,119,,,,,1.2698296308517456,,,,,,,
11,119,,,,,,,0.3103448152542114,0.7429166436195374,0.7344884872436523,0.2705535292625427,1.5667911767959595,0.41094258427619934
11,119,0.46086955070495605,0.8218685388565063,0.8265083432197571,0.43988722562789917,,0.43838071823120117,,,,,,
12,129,,,,,1.613160490989685,,,,,,,
12,129,,,,,,,0.27586206793785095,0.7473379373550415,0.7398171424865723,0.2202380895614624,1.5613844394683838,0.42008599638938904
12,129,0.4956521689891815,0.8435035347938538,0.8444685339927673,0.45621630549430847,,0.47046205401420593,,,,,,
13,139,,,,,1.8430842161178589,,,,,,,
13,139,,,,,,,0.27586206793785095,0.7506944537162781,0.7452363967895508,0.24124948680400848,1.5555064678192139,0.4318770170211792
13,139,0.48695650696754456,0.8468727469444275,0.8486356139183044,0.4610968828201294,,0.4908146560192108,,,,,,
14,149,,,,,0.9991492629051208,,,,,,,
14,149,,,,,,,0.27586206793785095,0.7508564591407776,0.744143545627594,0.23754578828811646,1.5667740106582642,0.41723716259002686
14,149,0.469565212726593,0.8696680068969727,0.870061993598938,0.45560184121131897,,0.5159485340118408,,,,,,
15,159,,,,,1.267661452293396,,,,,,,
15,159,,,,,,,0.24137930572032928,0.7437268495559692,0.7388882040977478,0.21212121844291687,1.5665838718414307,0.40625831484794617
15,159,0.48695650696754456,0.8498601317405701,0.8519406914710999,0.4717310070991516,,0.49091780185699463,,,,,,
16,169,,,,,1.1581491231918335,,,,,,,
16,169,,,,,,,0.24137930572032928,0.7474305629730225,0.7394376993179321,0.21212121844291687,1.5810253620147705,0.4065120220184326
16,169,0.46086955070495605,0.8372828364372253,0.8379272818565369,0.43560606241226196,,0.45357203483581543,,,,,,
17,179,,,,,1.1512725353240967,,,,,,,
17,179,,,,,,,0.24137930572032928,0.7465046048164368,0.7399077415466309,0.20897436141967773,1.5922951698303223,0.4229471981525421
17,179,0.5130434632301331,0.8681067824363708,0.8673858642578125,0.4909215569496155,,0.5298898220062256,,,,,,
18,189,,,,,1.2965278625488281,,,,,,,
18,189,,,,,,,0.24137930572032928,0.7469213008880615,0.7400329113006592,0.20897436141967773,1.5852824449539185,0.4168396294116974
18,189,0.539130449295044,0.8864721059799194,0.8860912322998047,0.5245240926742554,,0.5760689377784729,,,,,,
19,199,,,,,1.1793488264083862,,,,,,,
19,199,,,,,,,0.2068965584039688,0.7448379397392273,0.7382644414901733,0.18030303716659546,1.5891664028167725,0.4154149889945984
19,199,0.48695650696754456,0.8533430695533752,0.8552122116088867,0.47286540269851685,,0.524752676486969,,,,,,
20,209,,,,,1.123084545135498,,,,,,,
20,209,,,,,,,0.27586206793785095,0.7479629516601562,0.7414563298225403,0.23754578828811646,1.5849452018737793,0.4167841076850891
20,209,0.43478259444236755,0.8501139879226685,0.8499915599822998,0.41701436042785645,,0.4607163667678833,,,,,,
21,219,,,,,1.6956933736801147,,,,,,,
21,219,,,,,,,0.2068965584039688,0.7409490942955017,0.7352088689804077,0.18030303716659546,1.5868860483169556,0.4077760875225067
21,219,0.5130434632301331,0.8764183521270752,0.8766538500785828,0.49545422196388245,,0.5641244053840637,,,,,,
22,229,,,,,1.297436237335205,,,,,,,
